AA
AAP
AAPL
ACM
ADBE
ADI
ADP
ADSK
ALGN
AMAT
AMD
AMGN
AMZN
APPS
ARKK
ASML
AVGO
AXON
BABA
BIDU
BIIB
BILI
BKNG
BA
CHTR
COIN
COST
CPRT
CRWD
CSCO
CUBE
DDN
DOCS
DOCU
DWAC
EBAY
FAST
FB
FOX
FTCH
GDX
GILD
GLOB
GOOG
GOOGL
GOOS
HD
INCY
INMD
INTC
ISRG
JD
LCID
LOW
LSPD
LULU
MDLZ
MELI
MP
MRK
MRNA
MRO
MRVL
MSFT
MU
NFLX
NTES
NVDA
OKTA
ORLY
OXY
PDD
PTON
PYPL
QCOM
RBLX
REGN
ROST
RRC
SBUX
SE
SGEN
SHOP
SIRI
SMH
SNAP
SNPS
SPLK
SQ
SWKS
TDG
TEAM
TGT
TJX
TSLA
TSM
TSN
TWTR
U
URI
VRTX
WDAY
WMT
WSM
XBI
XEL
XLNX
XME
XOM
XOM
ZM
